# Notes : All Entities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Technology : MassHunterQual.IDENTIFIED_UNIDENTIFIED_COMPOUNDS.Pooled Blood Pos_2018_Aug_02_16_40_14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Owner : gxuser,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Created On : Thu Aug 02 16:42:19 EDT 2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Compound,MB1,MB2,MB3,53_T1,53_T2,53_T3,54_T1,54_T2,54_T3,55_T1,55_T2,55_T3,56_T1,56_T2,56_T3,57_T1,57_T2,57_T3,58_T1,58_T2,58_T3,59_T1,59_T2,59_T3,60_T1,60_T2,60_T3,49_T1,49_T2,49_T3,50_T1,50_T2,50_T3,51_T1,51_T2,51_T3,52_T1,52_T2,52_T3,48_T1,48_T2,48_T3,45_T1,45_T2,45_T3,46_T1,46_T2,46_T3,47_T1,47_T2,47_T3,Alignment Value,Annotations,CAS Number,ChEBI ID,Compound Name,Retention Time,MS1 Composite Spectrum,Mass,Ionization mode,Formula,Frequency,CompoundAlgo
C18H22N2S,153728,143817,148772.5,104842,130126,109920,123449,136918,124073,118146,120328,119257,117329,126168,130889,123343,106341,126120,129499,132231,118859,134002,117636,112238,144183,124785,129013,128088,108670,92936,111026,119024,117933,105950,119442,98191,121164,116471,119808,119020,121541,124032,121592,112893,112917,129354,95116,111735,118065,113966,110168,,"C18H22N2S [ C18 H22 N2 S, tgt=, overall=73.84, db=73.84 ]",,,C18H22N2S,10.003999,"(299.1585, 13086.8)(300.162, 2657.79)",298.1504,Esi+,C18 H22 N2 S,50,FindByFormula
C28H40O2,73042,1,36521.5,101947,40376,84386,73206,48838,50560,75330,74694,87468,65194,75920,63792,55984,140070,53583,1,61978,75064,149188,1,102856,1,86509,69280,75916,98119,150938,165180,178254,180535,187286,146643,163778,91683,74031,54535,176327,125036,166592,141563,159889,201806,68358,102119,256750,124949,143574,98616,,"C28H40O2 [ C28 H40 O2, tgt=, overall=62.70, db=62.70 ]",,,C28H40O2,12.224,"(409.3099, 23042.0)(410.3132, 3207.13)",408.3166,Esi+,C28 H40 O2,47,FindByFormula
C26H36N2O3,23879,50042,36960.5,144717,105844,151447,95649,37885,96074,117253,101843,140950,124848,136794,77253,139845,177014,123577,132702,106210,217344,131919,171823,220345,119508,114709,130164,387850,1,1,292361,313755,240520,1,1,1,312379,305658,201269,192111,166597,136985,120165,1.91E+07,209641,216222,130233,270622,212196,290451,177678,,"C26H36N2O3 [ C26 H36 N2 O3, tgt=, overall=89.73, db=89.73 ]",,,C26H36N2O3,12.142,"(425.2811, 1990714.6)(426.2846, 456842.62)(427.2867, 64332.21)",424.2722,Esi+,C26 H36 N2 O3,45,FindByFormula
C24H44N12O7,105744,122294,114019,77036,28649,45574,36009,20101,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,138786,97283,69483,39669,34228,19811,17009,19059,20336,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,"C24H44N12O7 [ C24 H44 N12 O7, tgt=, overall=55.51, db=55.51 ]",,,C24H44N12O7,6.855002,"(613.3482, 13200.17)(614.3516, 3761.67)",612.3357,Esi+,C24 H44 N12 O7,50,FindByFormula
C29H43BO2,360197,470333,415265,60886,210191,169341,164102,333821,191686,229397,190784,166196,157874,188391,84920,201970,155253,348559,156770,361163,222128,287336,202782,209473,332004,229494,221540,122758,190709,212549,92132,55152,105414,160164,140147,163130,144035,141845,188445,140710,160214,105103,125672,1,1,62975,1,107461,124801,54705,111896,,"C29H43BO2 [ C29 H43 B O2, tgt=, overall=50.21, db=50.21 ]",,,C29H43BO2,13.244,"(435.3418, 5713.01)(436.3443, 1784.08)",434.3354,Esi+,C29 H43 B O2,50,FindByFormula
C7H3BrClNO3,138320,136367,137343.5,85955,41524,103211,112778,135524,102132,107984,111848,1,94039,107676,87527,37620,91409,69463,91804,89182,89450,113892,106161,49672,84616,105842,105990,36695,43627,49961,18909,1,1,80179,40703,64451,57137,79999,23511,59321,61233,1,29318,26691,1,110863,20223,18658,26996,40082,27104,,"C7H3BrClNO3 [ C7 H3 Br Cl N O3, tgt=, overall=46.36, db=46.36 ]",,,C7H3BrClNO3,0.9550005,"(263.9049, 13768.51)(264.9049, 1802.25)",262.8977,Esi+,C7 H3 Br Cl N O3,47,FindByFormula
C30H46N2O3,44096,1,22048.5,219443,180189,215197,200402,126022,120929,207845,151885,189791,1,1,1,140665,203997,199166,255024,163155,390787,179098,195084,144454,210863,216377,225667,151256,1,368512,287164,1,215428,386039,1,330799,216567,184620,111885,308898,82618,231524,1,1,190187,1,1,1,64618,112090,186770,,"C30H46N2O3 [ C30 H46 N2 O3, tgt=, overall=56.30, db=56.30 ]",,,C30H46N2O3,12.799994,"(483.3563, 27715.64)(484.3593, 4609.44)",482.3351,Esi+,C30 H46 N2 O3,44,FindByFormula
529.3495@12.390005,8153,1,4077,207584,1,10809,16465,15577,1,1,1,1,1,1,1,1,75121,1,1,1,1,1,1,1,1,1,24656,216135,92268,225797,1,216178,183797,1,338268,172659,1,1,1,317339,1,1,165652,242573,319890,526067,1,292957,473335,1,1,,,,,529.3495@12.390005,12.390005,"(530.3555, 23183.35)(531.3602, 8968.49)(532.3655, 2439.31)",529.3495,Esi+,,32,FindByFormula
C17H32N2O4 Esi+11.416995,45755,121169,83462,117322,26279,133141,40687,41269,35377,63795,50027,45007,142805,121327,99540,116146,111754,127778,89036,46616,38010,73854,32069,105157,87814,137422,124154,46293,135882,144997,119582,140080,170481,118271,123460,103378,133325,123099,117745,185071,163083,154915,91023,136870,167299,49411,154493,78504,104758,102990,120531,,"C17H32N2O4 [ C17 H32 N2 O4, tgt=, overall=63.89, db=63.89 ]",,,C17H32N2O4 Esi+11.416995,11.416995,"(329.2407, 7144.71)(330.2446, 1646.78)",328.2398,Esi+,C17 H32 N2 O4,50,FindByFormula
C15H32N2O4 Esi+12.519005,37034,121173,79103.5,95450,66566,191347,100835,1,150101,75745,1,139537,225535,1,132162,1,1,244479,1,1,1,126269,213620,215752,1,127314,1,162444,162068,310969,342412,312064,309304,320276,326857,471693,272715,170571,66266,6971699,139538,5846680,1,240442,197407,152364,1,232356,129576,335797,2829990,,"C15H32N2O4 [ C15 H32 N2 O4, tgt=, overall=83.73, db=83.73 ]",,,C15H32N2O4 Esi+12.519005,12.519005,"(305.2437, 825584.0)(306.2466, 167535.23)",304.2369,Esi+,C15 H32 N2 O4,38,FindByFormula
C33H32,25412,112264,68838,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,40222,45097,40711,41619,93250,56609,46001,51883,51936,47542,81896,31724,78998,80813,66498,31717,78544,46558,1,24732,1,65012,71630,50140,,"C33H32 [ C33 H32, tgt=, overall=72.99, db=72.99 ]",,,C33H32,12.3150015,"(429.2584, 12781.27)(430.2617, 3393.48)",428.2476,Esi+,C33 H32,50,FindByFormula
C22H36N6O11,19988,1,9994.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,127140,1,1,1,1,1,45234,1,1,37365,1,1,1,77551,1,20584,55099,1,1,1,72830,1,48095,1,43673,,"C22H36N6O11 [ C22 H36 N6 O11, tgt=, overall=76.06, db=76.06 ]",,,C22H36N6O11,7.5520015,"(561.2528, 11545.24)(562.2563, 2964.59)",560.2486,Esi+,C22 H36 N6 O11,50,FindByFormula
C33H40N3,1133973,1094621,1114297,1016163,907343,860880,753824,831074,840272,838869,862014,893642,852410,751978,829516,805257,260031,833275,1035727,989108,803913,869047,1,891208,836037,809537,881425,779697,677530,1070959,539897,736372,730826,865513,817705,837633,742266,718083,771947,1158401,1005880,1198713,428614,750433,1009605,1,287212,834581,1,717432,641155,,"C33H40N3 [ C33 H40 N3, tgt=, overall=59.97, db=59.97 ]",,,C33H40N3,12.541009,"(479.3283, 11440.37)(480.3331, 4045.78)(481.341, 3987.04)",476.3436,Esi+,C33 H40 N3,47,FindByFormula
C20H35NO,85118,1,42559.5,27783,30109,48991,42413,57478,38494,1,45922,47129,1,30465,1,36966,52382,45013,1,119792,36971,1,36931,34549,40634,40204,1,71163,1,1,1,1,1,1,1,55283,1,82758,1,1,1,1,1,40515,1,45548,1,1,1,1,44348,,"C20H35NO [ C20 H35 N O, tgt=, overall=44.23, db=44.23 ]",,,C20H35NO,12.783998,"(306.2744, 12033.03)(307.2766, 2411.32)",305.2687,Esi+,C20 H35 N O,36,FindByFormula
C26H49P3,146510,64380,105445,58756,53340,75021,79555,57343,64687,51474,60186,59887,50301,40207,35753,42591,37222,45210,27737,48613,40438,52968,41877,57578,45961,42389,45740,1,1,59116,1,59471,70271,85242,35780,61825,48729,40939,36636,25321,1,30893,46589,1,1,107295,1,1,1,34263,1,,"C26H49P3 [ C26 H49 P3, tgt=, overall=82.35, db=82.35 ]",,,C26H49P3,12.9400015,"(455.3108, 7715.1)(456.3138, 2347.22)",454.3049,Esi+,C26 H49 P3,50,FindByFormula
C16H26N2OS,103357,113344,108350.5,95508,87078,106599,100214,108288,114157,97147,104116,102754,104057,107684,105036,107430,108357,105665,109888,106057,103420,113903,118123,127251,120804,119529,110052,111303,117644,142481,136486,132468,215782,124702,132786,147309,129237,118738,122253,115266,148257,236704,89535,226754,100494,109147,124651,99504,97685,100144,125112,,"C16H26N2OS [ C16 H26 N2 O S, tgt=, overall=77.17, db=77.17 ]",,,C16H26N2OS,10.820004,"(295.1837, 12024.71)(296.1871, 2150.08)",294.1768,Esi+,C16 H26 N2 O S,50,FindByFormula
C28H52O4,29177,89746,59461.5,144886,138459,52837,72843,71371,100053,1,82005,63542,1,1,1,1,62187,64374,1,147011,61672,63646,62207,48222,1,76876,58615,82318,1,1,1,1,1,1,1,1,1,1,1,121387,1,1,1,1,1,1,1,1,1,1,1,,"C28H52O4 [ C28 H52 O4, tgt=, overall=48.47, db=48.47 ]",,,C28H52O4,13.036006,"(453.3891, 8056.81)(454.3921, 2341.25)",452.3825,Esi+,C28 H52 O4,47,FindByFormula
C13H26N2O5,227885,142512,185198.5,204205,296650,219296,212705,201354,201170,194551,205362,192791,207388,204555,202052,198399,196033,193684,184993,215771,212803,197385,221669,171959,238976,216972,236586,198179,196962,151779,273489,241681,154267,239024,139716,240601,186737,141076,193254,349783,149175,119448,144939,147691,155885,151500,128381,109298,130899,138207,158786,,"C13H26N2O5 [ C13 H26 N2 O5, tgt=, overall=78.38, db=78.38 ]",,,C13H26N2O5,10.829995,"(291.1901, 10037.38)(292.1934, 1791.8)",290.1815,Esi+,C13 H26 N2 O5,50,FindByFormula
C24H50N2O6 Esi+13.377996,290459,300856,295657.5,133838,131714,109252,105307,121212,193785,113374,144767,108991,183553,155018,181550,132511,117138,291014,103598,151774,136158,125161,124934,168924,222729,132591,110156,132100,67877,1,120973,121845,1,103341,103010,108288,121098,123152,121930,1,155301,1,105091,59796,117915,78143,1,112742,111741,107676,75636,,"C24H50N2O6 [ C24 H50 N2 O6, tgt=, overall=77.56, db=77.56 ]",,,C24H50N2O6 Esi+13.377996,13.377996,"(463.3749, 5063.81)(464.3784, 1552.84)",462.3646,Esi+,C24 H50 N2 O6,46,FindByFormula
C15H26N8O5,19495,1,9748,449523,447554,533086,284124,244820,89867,18133,32481,15143,656736,295151,606370,332202,1,52781,343106,70332,404408,350571,385522,392512,372622,37917,309459,446797,509089,617954,461076,398064,431652,17747,29047,14422,839877,810198,603023,287797,202384,174006,614945,630294,348034,36137,75953,70113,169220,174354,114845,,"C15H26N8O5 [ C15 H26 N8 O5, tgt=, overall=78.11, db=78.11 ]",,,C15H26N8O5,9.933996,"(399.2089, 9248.37)(400.2114, 2224.34)",398.2052,Esi+,C15 H26 N8 O5,50,FindByFormula
C24H43NO2,98676,1,49338.5,132676,76158,170945,101987,1,98433,104485,120859,118942,102446,136204,144312,102291,114390,154828,91789,192104,147108,189592,148787,1,1,106367,195779,94874,106731,1,1,1,1,102434,1,1,1,1,1,1,1,1,1,1,1,1,48783,1,1,1,72561,,"C24H43NO2 [ C24 H43 N O2, tgt=, overall=65.29, db=65.29 ]",,,C24H43NO2,12.303997,"(378.3345, 6951.18)(379.3359, 1789.84)",377.3239,Esi+,C24 H43 N O2,27,FindByFormula
C23H40N6O2,369775,186569,278172,253405,368010,233494,635016,261190,476568,665498,308673,381510,235846,240034,233040,247277,213845,279413,197500,157982,344913,285535,330088,313411,693494,264867,277586,128904,223439,129281,188158,143195,231912,197684,182066,229141,198475,148887,230069,190237,213966,274139,243345,123715,172075,603123,1,118812,166699,149296,180212,,"C23H40N6O2 [ C23 H40 N6 O2, tgt=, overall=71.20, db=71.20 ]",,,C23H40N6O2,13.092999,"(433.3262, 8072.29)(434.3292, 2316.99)",432.3193,Esi+,C23 H40 N6 O2,50,FindByFormula
C14H24F2N2O2,43973,18249,31111,49882,34840,44050,42436,36485,32843,112139,125613,33198,56545,36672,33099,30162,159220,101674,34735,78823,116630,130459,136492,131555,132732,30596,131667,131740,107548,107480,208259,139531,138691,128136,133750,134974,142684,139389,119955,67160,96707,72116,166936,140340,72494,12106,122970,43621,42991,92071,159193,,"C14H24F2N2O2 [ C14 H24 F2 N2 O2, tgt=, overall=82.18, db=82.18 ]",,,C14H24F2N2O2,9.707,"(291.1886, 10855.05)(292.1915, 2121.61)",290.1837,Esi+,C14 H24 F2 N2 O2,50,FindByFormula
704.4652@12.642002,181115,75080,128097.5,351799,346357,351021,395528,250896,122998,298688,278978,316747,1,1,287508,1,1,419073,383339,253213,315866,297797,315338,523836,357084,297979,340332,459797,474888,544622,550328,511615,449249,468756,314790,480302,495577,526623,551868,420412,389968,274493,174681,453080,412973,96737,434818,310703,1,355854,419854,,,,,704.4652@12.642002,12.642002,"(705.4694, 3294.31)(706.4649, 2641.83)(707.4677, 3220.57)",704.4652,Esi+,,45,FindByFormula
C37H66O5 Esi+14.2719965,44221,1,22111,67263,1,133016,89537,74242,102440,108922,133518,1,142202,107906,139615,199499,125637,140422,105792,116448,148330,100244,94533,171862,129004,1,124904,257090,211663,220506,314339,190071,160639,46046,63777,116621,1,1,292465,1130334,163352,455956,112296,318441,1140652,1,1,1101772,1134476,61228,87735,,"C37H66O5 [ C37 H66 O5, tgt=, overall=49.85, db=49.85 ]",,,C37H66O5 Esi+14.2719965,14.2719965,"(591.494, 90192.09)(592.4969, 31988.9)",590.4839,Esi+,C37 H66 O5,44,FindByFormula
C39H49N2P,236991,226487,231739,1,210382,251975,1,1,1,1,1,1,1,1,1,1,1,277480,415728,245474,1,1,1,1,1,1,209279,1,263519,1,1,1,1,1,341422,1,279993,1,1,1,1,141065,1,1,190305,211708,1,1,1,235834,1,,"C39H49N2P [ C39 H49 N2 P, tgt=, overall=66.77, db=66.77 ]",,,C39H49N2P,12.296998,"(577.3688, 8826.64)(578.3722, 3050.0)(579.3789, 2635.77)",576.3588,Esi+,C39 H49 N2 P,48,FindByFormula
C12H24N2O6 Esi+10.997993,267017,290417,278717,125936,251517,232199,228968,240130,234966,275928,237036,239355,241395,232465,232893,223749,218337,238761,243847,256612,232477,245104,252562,244271,256669,265386,271987,240280,235594,213293,221843,202897,199517,222366,216920,218258,218657,233762,217785,234676,208249,220282,201509,207965,206367,259717,187979,212490,212088,197592,212364,,"C12H24N2O6 [ C12 H24 N2 O6, tgt=, overall=81.37, db=81.37 ]",,,C12H24N2O6 Esi+10.997993,10.997993,"(293.1706, 15268.35)(294.174, 2811.01)",292.1635,Esi+,C12 H24 N2 O6,50,FindByFormula
C31H52N6O8,96766,1,48383.5,180178,109934,1,1,105123,1,1,94528,105292,1,105846,111782,66998,39671,63137,45061,1,1,1,72983,87506,126496,177440,1,1,153782,184911,222479,252373,273922,109340,119372,142023,203325,1,132447,215634,233463,1,219182,157807,257349,101493,195537,181062,155246,151866,145926,,"C31H52N6O8 [ C31 H52 N6 O8, tgt=, overall=34.29, db=34.29 ]",,,C31H52N6O8,11.9979925,"(637.3932, 3424.76)(638.3949, 1000.66)(639.4047, 13545.68)",636.3876,Esi+,C31 H52 N6 O8,47,FindByFormula
660.4901@13.531005,188841,241874,215357.5,184503,149350,159731,173489,155589,181716,1,187277,183241,199498,1,45084,165041,183582,82732,163660,172644,200889,191935,189638,243934,190331,185027,159076,172506,169284,168522,154047,105903,166558,167746,184471,242983,171383,183148,163388,94099,126666,73439,72781,1,76032,1,1,39325,52038,45209,1,,,,,660.4901@13.531005,13.531005,"(661.4794, 9693.24)(662.4824, 4321.97)",660.4901,Esi+,,50,FindByFormula
C19H35F3O Esi+12.606,278958,167507,223232.5,29556,15060,47177,30094,23615,27197,14376,188437,22643,35726,33718,30834,47610,41842,38963,44267,172116,42611,27661,41395,46907,21366,30004,27953,37449,47689,92041,102297,104403,72741,80307,117141,130654,80005,34571,35447,61133,232893,41768,111422,92120,79811,89886,25692,155175,48257,58014,26034,,"C19H35F3O [ C19 H35 F3 O, tgt=, overall=84.40, db=84.40 ]",,,C19H35F3O Esi+12.606,12.606,"(337.2705, 18098.13)(338.2738, 3732.68)",336.2619,Esi+,C19 H35 F3 O,50,FindByFormula
C17H34N2O6 Esi+11.868998,135602,133058,134330,136594,125070,210189,135202,114504,120847,137981,138845,145264,105499,127040,133428,108776,143531,116361,119494,126168,115444,119193,125667,85940,126154,141171,115574,158979,118282,97956,126081,93591,95890,95046,85194,82380,131358,125365,103926,80929,111775,50273,72381,142285,104580,188420,114422,48581,82796,97646,128907,,"C17H34N2O6 [ C17 H34 N2 O6, tgt=, overall=75.68, db=75.68 ]",,,C17H34N2O6 Esi+11.868998,11.868998,"(363.2476, 14537.29)(364.2508, 3458.52)",362.2383,Esi+,C17 H34 N2 O6,50,FindByFormula
C38H58O4,46755,82818,64786.5,93862,31921,105677,72220,70759,121273,112969,137341,123580,118452,92991,58560,98193,58612,12214,201127,95430,100016,124275,91104,66307,102611,112516,106712,97509,76862,138729,81893,101718,116971,1,75245,137151,96782,91105,18416,186721,1,169848,59952,1,122340,1,1,235799,128974,54645,1,,"C38H58O4 [ C38 H58 O4, tgt=, overall=53.32, db=53.32 ]",,,C38H58O4,13.262002,"(579.4374, 7755.32)(580.4398, 3280.05)",578.4316,Esi+,C38 H58 O4,50,FindByFormula
542.3869@12.814003,125659,120439,123049,562308,504885,645458,460170,356385,329628,465136,386813,483918,524060,233115,376062,414162,537742,589608,295300,347183,447622,335370,401177,487911,339770,646862,374823,433600,565784,436137,363945,403259,368251,371918,601080,531045,673281,269046,251001,1353501,851773,1329293,367617,283723,292583,430013,218881,851877,535732,268363,447724,,,,,542.3869@12.814003,12.814003,"(543.3988, 19517.44)(544.4021, 6759.68)(545.4136, 15387.45)(546.4177, 5050.77)(547.4293, 5472.72)",542.3869,Esi+,,50,FindByFormula
C14H26O2,57982,60801,59391.5,92112,84463,101858,97500,87311,103385,115198,78750,87883,90163,85737,79483,74409,102652,93121,82145,88085,97646,113183,96634,88793,87606,96801,121921,75851,106304,130548,101562,99913,115198,118454,105000,134463,110102,104807,92138,62200,65491,61966,70097,82577,82515,68261,84258,73554,61571,79980,65621,,"C14H26O2 [ C14 H26 O2, tgt=, overall=55.04, db=55.04 ]",,,C14H26O2,11.303,"(227.1979, 11243.25)(228.1997, 2063.69)",226.1898,Esi+,C14 H26 O2,50,FindByFormula
C12H10N4O4S,47848,17577,32712.5,93760,67357,73163,126307,49450,64297,104831,62720,71919,96262,65188,52840,92675,122101,68013,117326,30481,44371,83329,53054,75361,137806,50033,74737,78010,104721,95281,113421,134409,120122,66272,82147,129574,75511,92156,59130,80076,106844,84304,91151,130202,86613,39157,99763,136081,91998,79531,64172,,"C12H10N4O4S [ C12 H10 N4 O4 S, tgt=, overall=74.51, db=74.51 ]",,,C12H10N4O4S,8.549003,"(307.0498, 14479.17)(308.0536, 2158.1)",306.0426,Esi+,C12 H10 N4 O4 S,50,FindByFormula
C32H64N2O2S2,422382,336179,379280.5,495250,519755,612730,494712,492713,585268,594814,646715,647516,489066,612863,516083,597872,370080,416353,367059,510774,582335,564638,548723,623755,506560,426589,579178,377776,417035,664984,665281,625313,714101,304405,482268,621859,526795,465494,348075,1626992,616760,1349657,613482,553960,982460,286265,1,1073200,640534,496758,372939,,"C32H64N2O2S2 [ C32 H64 N2 O2 S2, tgt=, overall=25.61, db=25.61 ]",,,C32H64N2O2S2,13.132997,"(573.4469, 10364.77)(574.4504, 3710.87)(575.463, 12853.35)",572.4378,Esi+,C32 H64 N2 O2 S2,50,FindByFormula
C33H46N2O3 Esi+12.320004,233812,269069,251440.5,1,374784,389013,246936,321313,205621,377925,287579,314711,225809,384492,373083,407832,295826,529059,355330,438353,273009,310906,333309,355067,371211,1,1,186301,406378,1143366,670636,920722,917207,794190,413862,432548,1,250827,501067,444049,1092811,875316,912953,740997,772492,1665317,609395,642082,364761,358626,284439,,"C33H46N2O3 [ C33 H46 N2 O3, tgt=, overall=77.72, db=77.72 ]",,,C33H46N2O3 Esi+12.320004,12.320004,"(519.3593, 28888.36)(520.354, 11482.78)(521.3664, 4564.0)(1037.6293, 19544.29)(1038.6318, 10713.17)",518.3175,Esi+,C33 H46 N2 O3,49,FindByFormula
C30H44N2,140780,152123,146451.5,1,131283,155793,135371,126292,137477,135585,135113,141637,126506,115351,133672,118138,144561,131994,120148,144160,131763,138820,124664,134249,142594,128121,139188,117578,108542,28323,145371,23411,55444,107506,102107,116789,158069,241202,109586,43625,88138,92898,69258,1,1,106828,1,1,85004,84437,81996,,"C30H44N2 [ C30 H44 N2, tgt=, overall=55.71, db=55.71 ]",,,C30H44N2,13.2890005,"(433.3617, 5580.66)(434.3643, 1752.49)",432.3548,Esi+,C30 H44 N2,47,FindByFormula
C24H42N6O3 Esi+12.4240055,882516,911474,896995,621838,842385,698835,817600,810882,858278,835658,853871,910278,864341,613289,802045,793027,746708,846779,721947,842087,797493,820422,839430,907014,791434,655021,829645,863996,748373,476029,416207,358971,894705,720479,883120,398135,248686,699052,704549,1144394,746201,1030739,734796,877194,785541,572363,453096,861477,595234,735525,294085,,"C24H42N6O3 [ C24 H42 N6 O3, tgt=, overall=57.92, db=57.92 ]",,,C24H42N6O3 Esi+12.4240055,12.4240055,"(463.336, 24178.17)(464.339, 5958.8)(465.3502, 7138.53)",462.3268,Esi+,C24 H42 N6 O3,50,FindByFormula
C10H20N2O4,216794,182984,199889,236085,240118,236012,251378,131016,128066,114901,243678,115640,306566,113873,183940,107396,312621,308588,190360,107077,219102,100961,101044,235974,237455,246512,240605,93395,199330,148563,99672,98500,94483,101514,107270,168194,150667,87825,92504,84090,96982,201356,116187,191449,136928,88699,113946,152773,83689,98562,247459,,"C10H20N2O4 [ C10 H20 N2 O4, tgt=, overall=84.66, db=84.66 ]",,,C10H20N2O4,10.541995,"(233.149, 12816.22)(234.1526, 1725.47)",232.1406,Esi+,C10 H20 N2 O4,50,FindByFormula
C24H42N2O2Si,234186,323149,278667.5,527411,114966,88053,158499,202981,237962,156300,177442,171180,150637,78702,129160,502951,360126,601812,477071,183828,520069,187408,141037,153001,566409,172361,132389,123920,107155,179699,82210,83840,114498,254348,118985,258555,102151,71204,112473,29135,78144,150341,110974,355531,90488,718932,22293,45459,88445,174318,72204,,"C24H42N2O2Si [ C24 H42 N2 O2 Si, tgt=, overall=65.26, db=65.26 ]",,,C24H42N2O2Si,12.928998,"(419.3108, 9742.15)(420.3133, 2965.8)",418.3041,Esi+,C24 H42 N2 O2 Si,50,FindByFormula
656.4251@12.686001,124856,109918,117387,1,1,1,1,1,1,1,1,1,412753,146519,314325,1,1,268642,1,1,1,1,1,1,1,317564,1,375532,1,302110,1,300569,1,1,346942,366019,357934,393468,1,1,1,1,259419,1,1,97948,1,1,1,1,234896,,,,,656.4251@12.686001,12.686001,"(657.4651, 6302.37)(658.4625, 3005.45)(659.4531, 2515.1)",656.4251,Esi+,,17,FindByFormula
C14H17FN2O2,58040,83900,70970,74489,74816,93498,84602,49667,71276,67631,57000,71193,79060,73927,69020,59961,102261,69369,65412,35908,80052,58709,93187,103506,71256,63797,66009,86481,103414,156819,117511,143454,146217,101175,114689,138372,113010,108723,39697,226423,275675,240898,63932,103810,218926,87035,112592,328780,46217,45652,110376,,"C14H17FN2O2 [ C14 H17 F N2 O2, tgt=, overall=84.99, db=84.99 ]",,,C14H17FN2O2,9.282005,"(265.1342, 30824.46)(266.1375, 4234.0)",264.1309,Esi+,C14 H17 F N2 O2,50,FindByFormula
C31H38O4 Esi+12.476006,730178,639855,685016.5,488063,524234,464083,504820,475399,469720,543322,512840,515940,454585,387330,413825,399858,342396,403551,504149,489327,403745,460236,423834,468132,507106,429640,467591,211129,347728,250817,1,221224,186868,200552,243304,279555,219451,227263,278354,1,1,1,178088,150492,1,320489,1,1,1,273131,256776,,"C31H38O4 [ C31 H38 O4, tgt=, overall=75.96, db=75.96 ]",,,C31H38O4 Esi+12.476006,12.476006,"(475.2845, 11570.83)(476.2859, 3709.2)",474.2755,Esi+,C31 H38 O4,42,FindByFormula
