# Notes : All Entities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Technology : MassHunterQual.IDENTIFIED_UNIDENTIFIED_COMPOUNDS.Pooled blood neg_2018_Aug_03_09_33_45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Owner : gxuser,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Created On : Fri Aug 03 09:36:41 EDT 2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Compound,MB1,MB2,MB3,53_T1,53_T2,53_T3,54_T1,54_T2,54_T3,55_T1,55_T2,55_T3,56_T1,56_T2,56_T3,57_T1,57_T2,57_T3,58_T1,58_T2,58_T3,59_T1,59_T2,59_T3,60_T1,60_T2,60_T3,45_T1,45_T2,45_T3,46_T1,46_T2,46_T3,47_T1,47_T2,47_T3,48_T1,48_T2,48_T3,49_T1,49_T2,49_T3,50_T1,50_T2,50_T3,51_T1,51_T2,51_T3,52_T1,52_T2,52_T3,Alignment Value,Annotations,CAS Number,ChEBI ID,Compound Name,CompoundAlgo,Formula,Frequency,Ionization mode,Mass,MS1 Composite Spectrum,Retention Time
C18H24N6O6 Esi-6.8680015,28179,31158,1,3623302,3475769,3607997,3424930,2808360,3558420,3611765,3443011,3510698,3559778,3447169,3324834,2234761,3984655,3574121,3889463,2974626,3966083,3473606,3738416,3862353,3293208,3325464,3208815,3040488,3149552,1974840,592693,3677967,1425785,1652682,1856996,3312717,1936991,2139645,1723831,3239698,3498815,3862407,3819463,3754925,3719617,3757165,3563624,4059898,3490029,3503367,1054675,,"C18H24N6O6 [ C18 H24 N6 O6, tgt=, overall=96.20, db=96.20 ]",,,C18H24N6O6 Esi-6.8680015,FindByFormula,C18 H24 N6 O6,51,Esi-,210.0914,"(419.1686, 146207.98)(420.1716, 26192.65)(421.1736, 4362.21)(209.0807, 124489.7)(210.0838, 12009.14)(211.0872, 1348.45)",6.8680015
C25H44N2O3,537969,1093504,1152266,143504,216012,117424,395388,819825,495706,383016,518197,444957,439318,153333,274211,504582,506164,598654,904924,943189,488536,649267,977364,583014,643658,836986,1052066,58677,333478,191017,1001535,548023,216064,109271,111440,558712,226115,429414,85085,651959,264764,520986,431086,107773,464547,732524,1012725,757048,601756,383605,720933,,"C25H44N2O3 [ C25 H44 N2 O3, tgt=, overall=60.78, db=60.78 ]",,,C25H44N2O3,FindByFormula,C25 H44 N2 O3,51,Esi-,420.3322,"(419.323, 24511.12)(420.3257, 6999.43)(421.3215, 632.12)",12.875999
C7H5IN2,101414,137559,1,165308,139853,215914,226968,219527,121632,200271,133463,152991,226681,219985,204839,217514,141622,138217,170733,225656,207447,183611,156067,180326,180475,201650,185089,160986,159608,71756,228997,158728,49257,193356,151051,195310,1,115592,66210,183202,96409,164796,151510,169122,145307,206350,123714,195331,196741,207746,217097,,"C7H5IN2 [ C7 H5 I N2, tgt=, overall=71.87, db=71.87 ]",,,C7H5IN2,FindByFormula,C7 H5 I N2,51,Esi-,243.9542,"(242.944, 22114.2)(243.9488, 1027.21)",1.4389999
C10H10O10S3,1226999,1004587,1351444,1277644,1329384,1325890,1360815,1376769,1375923,1293896,1393010,1339180,1351338,1311950,1365093,1338896,1355199,1371556,1399490,1381893,1391755,1348701,1341714,1299484,1337663,1316185,1324258,1218078,1259769,1286620,1319542,1329489,1311358,1337212,1336389,1339021,1322460,1232515,1289697,1327797,1324031,1224534,1318114,1331831,1399653,1393983,1410497,1368861,1346728,1307525,1302217,,"C10H10O10S3 [ C10 H10 O10 S3, tgt=, overall=59.92, db=59.92 ]",,,C10H10O10S3,FindByFormula,C10 H10 O10 S3,51,Esi-,385.9473,"(384.9357, 61403.69)(385.9387, 4332.65)",15.645005
C27H38N2O5,1244681,721073,842277,1120966,1102851,1162853,1077923,1094563,1032121,424393,1132178,969298,1024395,953754,1010736,1017867,934735,955000,930749,1032097,934263,600965,892042,960641,443329,776291,930712,763236,799677,910250,900414,832283,1002871,508480,641584,371646,533318,524961,490969,926733,824686,822067,716163,665110,817052,877376,861877,710109,814556,439177,947107,,"C27H38N2O5 [ C27 H38 N2 O5, tgt=, overall=79.05, db=79.05 ]",,,C27H38N2O5,FindByFormula,C27 H38 N2 O5,51,Esi-,470.2816,"(939.5499, 733.41)(469.2713, 15214.0)(470.2737, 4770.78)",12.29101
775.5146@12.678998,750614,991712,828116,1033987,1064345,1039970,1081682,1043808,1046746,1048195,1121285,995716,974024,1031119,943376,936730,967410,884970,943063,877866,966496,1046061,1028980,926438,924338,883339,1020652,221674,472931,426977,504755,395437,122387,623608,666686,665440,364237,595954,339205,645011,626041,706473,644711,362029,624973,658641,759465,866375,638629,827394,39333,,,,,775.5146@12.678998,FindByFormula,,51,Esi-,775.5146,"(774.4989, 11143.82)(775.5006, 6856.77)(776.4994, 3260.8)",12.678998
C3H2O6S,278023,95223,1,867029,1372492,567345,476204,325105,630541,571240,467296,1356615,441285,475248,766182,1143568,754821,1025792,826079,636763,738473,420289,517172,763105,824649,363398,263146,1042201,991079,959566,431319,963895,1050040,1130516,1185287,1094110,970102,1075071,1095075,1088811,1056299,1007811,1023521,1032456,1125797,783175,950903,866666,947026,725582,900050,,"C3H2O6S [ C3 H2 O6 S, tgt=, overall=70.09, db=70.09 ]",,,C3H2O6S,FindByFormula,C3 H2 O6 S,51,Esi-,165.9553,"(164.9489, 71085.79)(165.9513, 1266.48)",1.0029994
C4H5BrN2S,129943,86782,75285,77008,160346,44256,140551,59240,37666,41490,32432,26560,139035,59751,40878,149218,65007,43156,47377,97129,88197,188725,37828,45747,48187,53200,56107,98849,224901,133493,45916,187691,167552,53272,163557,172495,1,183827,35976,165857,61885,104636,1,173467,21738,113246,84439,136722,35817,1,230392,,"C4H5BrN2S [ C4 H5 Br N2 S, tgt=, overall=58.34, db=58.34 ]",,,C4H5BrN2S,FindByFormula,C4 H5 Br N2 S,51,Esi-,191.9384,"(190.9287, 14945.3)(191.9318, 779.52)",1.4280007
C20H10Cl4O4,1100462,1186567,1200645,1191187,1175268,1192021,1232261,1201851,1190279,1159611,1196906,1156250,1152573,1169135,1154255,1139801,1115188,1170534,1193264,1233074,1251117,1249547,1241147,1214282,1255751,1217392,1187095,1180837,1199313,1189606,1208365,1206668,1142506,1164268,1145504,1156333,1140349,1150634,1146019,1199166,1149763,1204766,1218254,1140737,1206809,1210241,1270213,1267950,1276039,1200460,1270133,,"C20H10Cl4O4 [ C20 H10 Cl4 O4, tgt=, overall=55.81, db=55.81 ]",,,C20H10Cl4O4,FindByFormula,C20 H10 Cl4 O4,51,Esi-,453.9353,"(452.9248, 61628.61)(453.9277, 4416.21)",15.643996
C6H2F4S,984054,982944,1060359,975269,1020790,554436,1063546,1094969,1125859,1113187,997794,1118395,1137813,1129417,1121822,1076242,1117159,1175368,1117685,1066160,577034,1005974,1034881,1038438,1069597,1089139,1091619,957888,949021,966583,1033817,1062080,1056043,1115084,1098007,1075853,1119970,1110679,1109157,1100889,1079430,1107558,1048213,1120552,1140670,1115088,1075729,988841,1021691,1000885,1040706,,"C6H2F4S [ C6 H2 F4 S, tgt=, overall=76.18, db=76.18 ]",,,C6H2F4S,FindByFormula,C6 H2 F4 S,51,Esi-,181.9811,"(180.9738, 50954.02)(181.9773, 1628.27)",15.645005
C5H7IN4 Esi-1.1790006,230500,844047,415848,605652,630490,528461,418112,355393,512793,432405,552804,661451,614284,540750,567484,617394,284477,352695,406710,369292,516896,518302,438979,750738,509074,209579,579905,1025512,1066092,1085720,541211,1062728,908884,956837,853901,952760,1136263,1015876,1132672,963186,932917,880251,1106101,1098369,1031737,717173,716100,742457,674673,722393,897747,,"C5H7IN4 [ C5 H7 I N4, tgt=, overall=77.28, db=77.28 ]",,,C5H7IN4 Esi-1.1790006,FindByFormula,C5 H7 I N4,51,Esi-,249.9701,"(248.9627, 118244.13)(249.966, 5707.11)",1.1790006
1307.0763@14.216998,962264,1,1,1693005,1,415063,271053,267551,360435,246381,359079,197226,200657,134909,75192,243487,1,191647,191290,187760,67003,117786,98999,162761,126414,121951,26063,39822,86008,35650,1,1,1,1,1,23647,44876,1,1,1,1,28161,43425,41529,24924,1,30119,87405,51157,68863,90552,,,,,1307.0763@14.216998,FindByFormula,,51,Esi-,1307.0763,"(1306.0554, 56005.69)(1307.0581, 57125.07)",14.216998
C6H7F2I,406728,309859,373990,354684,522831,441214,572276,586940,336787,547538,354061,435581,347728,363240,435309,349715,510830,546516,556638,607226,372448,401321,380728,380552,509416,493299,442338,218107,336947,364434,385539,446428,245536,201892,381712,380932,355068,375061,403461,273526,405413,403139,388189,373353,442563,260739,498099,397944,388998,545058,441888,,"C6H7F2I [ C6 H7 F2 I, tgt=, overall=62.38, db=62.38 ]",,,C6H7F2I,FindByFormula,C6 H7 F2 I,51,Esi-,243.9538,"(242.9459, 25303.63)(243.9496, 1219.55)",15.870991
C13H6N2O2S3,371399,377908,413801,466102,503915,396392,393318,340682,420354,441360,482832,591089,550603,521678,507191,506943,256667,265067,411261,334782,421801,457734,361186,576710,452039,340035,495176,867003,842324,827593,428351,928897,844059,885329,807440,903028,1102619,953231,923900,861924,807123,776267,942862,976691,990850,649633,623470,610258,500646,529577,748017,,"C13H6N2O2S3 [ C13 H6 N2 O2 S3, tgt=, overall=59.93, db=59.93 ]",,,C13H6N2O2S3,FindByFormula,C13 H6 N2 O2 S3,51,Esi-,317.958,"(316.9515, 113959.55)(317.9548, 5828.82)",1.1790006
C43H77ClO4,3464174,2525535,2750404,471574,407031,161182,42121,210355,467801,584770,574588,294002,445529,18623,164329,99557,296950,343980,485442,215212,441552,67988,217274,461356,546615,499811,228377,163097,131398,49118,430416,169286,17982,80131,35832,194570,30119,331974,70768,282358,204067,281849,234267,20844,114832,68108,154220,144661,203823,293816,87718,,"C43H77ClO4 [ C43 H77 Cl O4, tgt=, overall=66.02, db=66.02 ]",,,C43H77ClO4,FindByFormula,C43 H77 Cl O4,51,Esi-,692.56,"(691.5455, 40978.15)(692.548, 20670.73)(693.548, 7429.42)(694.5486, 2158.16)",12.656003
C16H24Cl6S3,927303,989969,1061947,916586,902005,948257,956974,942658,922093,948124,988193,982496,996856,981913,986690,958050,1005826,1001192,983621,971574,1002737,1006650,1017261,1011518,1052239,1023988,1021774,977668,927767,942559,981119,955845,976458,959565,981408,983491,1001539,1011229,1004946,1002100,1011070,1018335,1027436,1015572,1047389,1010602,1000008,1000781,1037006,1045640,1052597,,"C16H24Cl6S3 [ C16 H24 Cl6 S3, tgt=, overall=57.68, db=57.68 ]",,,C16H24Cl6S3,FindByFormula,C16 H24 Cl6 S3,51,Esi-,521.927,"(520.9089, 55627.85)(521.9116, 4739.58)",15.643996
C10H14N3O3,79666,1,1,656627,433478,498133,477211,300056,477379,463252,404283,447155,412649,363652,331995,295269,641740,467803,577961,333850,625014,450086,444190,744323,523979,471315,529921,463165,572596,153321,39346,729223,92553,120064,148123,478993,111570,144696,93835,401341,473548,644528,611886,683662,664228,716954,650943,856289,592222,575153,205901,,"C10H14N3O3 [ C10 H14 N3 O3, tgt=, overall=83.82, db=83.82 ]",,,C10H14N3O3,FindByFormula,C10 H14 N3 O3,51,Esi-,224.1058,"(447.2003, 16256.55)(448.2034, 3546.18)(449.2114, 948.93)(223.0964, 63142.84)(224.0997, 6624.7)",7.8080044
C3HF5O3,701214,676295,645037,649673,698135,617713,622753,552777,470370,615570,482584,593296,607561,566765,631626,471910,592242,548117,589477,593673,377062,630713,636945,641293,637014,609572,659385,805771,660177,781288,644829,637946,618740,443394,501893,656804,582445,560177,530533,601614,551950,616506,535229,528626,520193,602322,587939,626049,500720,619056,571969,,"C3HF5O3 [ C3 H F5 O3, tgt=, overall=76.34, db=76.34 ]",,,C3HF5O3,FindByFormula,C3 H F5 O3,51,Esi-,179.9873,"(178.9789, 19808.55)(179.9819, 729.83)",16.24101
589.9169@15.643996,825760,889163,930592,828361,812622,830088,855346,834558,838100,827053,876062,864869,859287,876871,860462,835733,905191,868679,895079,877200,878925,901801,882817,908789,943167,906569,916345,857412,864984,860710,878472,859639,884226,897911,907744,891937,914286,913155,907162,921140,922103,915565,930697,913318,947590,923202,889058,913721,918220,916411,923767,,,,,589.9169@15.643996,FindByFormula,,51,Esi-,589.9169,"(588.905, 53368.86)(589.908, 5039.25)(590.9087, 1941.08)",15.643996
117.9357@15.2890005,883505,717600,753718,818674,924230,857304,865490,901334,889400,928966,954758,923280,873692,841978,873181,865820,895577,906115,843588,842044,868604,742851,746823,787476,809751,814713,789052,633662,531394,479051,451861,521808,562366,612091,589705,639400,596064,656146,526254,645020,655411,682590,670205,460303,534702,673103,675747,657094,685463,690048,777950,,,,,117.9357@15.2890005,FindByFormula,,51,Esi-,117.9357,"(116.9286, 63429.35)(117.9285, 6692.45)(118.9286, 1739.89)",15.2890005
C29H56N2O4,70637,1,1,150225,89819,168276,119553,99359,128217,129153,127021,131441,147244,146292,120007,128697,137383,124684,119296,100164,122801,112086,134635,160264,116849,120040,126527,549453,807175,662782,1,72578,872068,315759,134489,140507,945760,310941,1070416,76944,84140,181726,237496,999730,288052,1,84503,86783,131539,127162,147747,,"C29H56N2O4 [ C29 H56 N2 O4, tgt=, overall=82.38, db=82.38 ]",,,C29H56N2O4,FindByFormula,C29 H56 N2 O4,51,Esi-,496.4191,"(495.414, 12228.68)(496.4174, 3626.92)(497.4215, 1138.19)(498.4288, 201.68)",12.838007
C5H4O2S3,566461,395354,265811,392736,378231,380111,443194,379568,381534,347622,352712,355713,361134,351260,450831,440474,393370,445784,332194,354322,326742,359066,370755,326352,295407,363075,431293,429378,290188,347154,303885,325880,309764,287180,292201,301048,317912,315925,300429,302136,374158,314784,386867,256755,255543,270126,282914,293431,254427,239660,296599,,"C5H4O2S3 [ C5 H4 O2 S3, tgt=, overall=60.83, db=60.83 ]",,,C5H4O2S3,FindByFormula,C5 H4 O2 S3,51,Esi-,191.9369,"(190.9297, 24876.09)(191.9332, 1311.02)",15.908005
C7H5F3O3S,166183,258553,164375,174680,138158,144626,130491,174767,183757,326715,202968,211000,192351,198312,203424,218479,224963,318790,164036,204192,220844,166784,183579,180078,258918,179810,173135,292458,292381,201076,239913,246689,155371,293074,286212,574244,251914,265698,317660,971261,263676,384948,279798,308946,240735,297280,185040,280101,669948,224674,275097,,"C7H5F3O3S [ C7 H5 F3 O3 S, tgt=, overall=68.12, db=68.12 ]",,,C7H5F3O3S,FindByFormula,C7 H5 F3 O3 S,51,Esi-,225.9907,"(450.9773, 1164.9)(224.9844, 90688.67)(225.9816, 3376.03)",8.048003
789.5348@12.730999,173518,104448,1,81822,189490,196460,144547,142651,208973,179056,165473,172857,187892,243886,119959,95888,134172,143826,147936,131389,64745,125087,110154,220839,126582,118297,187701,1,1,486434,1,1,53792,125960,150401,188259,145527,130556,99067,83985,1,80654,98669,954932,123505,92977,115603,123237,1,101256,69279,,,,,789.5348@12.730999,FindByFormula,,49,Esi-,789.5348,"(788.5326, 2066.08)(789.5337, 1257.1)(790.5189, 213.45)",12.730999
C14H11IO3S,128542,236702,322139,302746,334198,265734,253895,222987,256797,289732,295898,409762,362316,312535,318156,394229,152437,156814,272503,215440,282843,310744,255557,408141,309151,227356,328572,613670,592778,589588,285154,648943,531631,635626,565100,659413,803039,674174,664732,593501,556004,540702,674650,703158,692915,460493,420441,427462,368045,364860,534313,,"C14H11IO3S [ C14 H11 I O3 S, tgt=, overall=66.06, db=66.06 ]",,,C14H11IO3S,FindByFormula,C14 H11 I O3 S,51,Esi-,385.9462,"(384.9399, 82459.88)(385.9429, 4940.32)",1.1790006
C36H74O4S,120135,253120,408282,159105,77013,154696,147437,146099,153389,175383,169704,158746,180680,182753,194082,233444,205888,239982,206450,206726,224288,215125,217401,252501,243207,287459,227536,348886,435450,556218,433256,525860,164067,274639,339632,375521,327161,212583,214007,433134,395702,304680,369945,518085,260710,469024,733429,473220,453179,311525,436817,,"C36H74O4S [ C36 H74 O4 S, tgt=, overall=89.39, db=89.39 ]",,,C36H74O4S,FindByFormula,C36 H74 O4 S,51,Esi-,602.5357,"(601.5263, 58936.41)(602.5289, 23306.26)(603.5292, 6941.24)(604.5285, 1581.32)",12.494996
C2H6O5S,305863,340855,562620,182901,231898,413836,274123,276854,413300,230884,343803,237256,259665,238907,263058,14159,234830,258004,202560,263796,317587,273081,376075,78724,126902,436007,387188,90708,119221,51206,318775,54287,204147,92594,101220,83023,125576,105274,37199,116234,113994,81555,200025,115548,101608,191095,197726,137938,142054,255930,59084,,"C2H6O5S [ C2 H6 O5 S, tgt=, overall=91.22, db=91.22 ]",,,C2H6O5S,FindByFormula,C2 H6 O5 S,51,Esi-,141.995,"(140.9858, 84991.68)(141.9866, 4923.96)(142.9851, 2883.8)",0.95700043
C12H21Cl6O3P,227015,263031,312183,275788,324481,206330,201822,166581,213354,232177,249346,332897,280684,277943,279357,325990,113403,119809,198387,165430,222468,271953,213361,397780,239554,169281,285383,609428,621975,575271,254377,631963,519089,588631,521591,604875,734744,632826,656356,579144,556705,512138,686678,657226,635197,393683,377127,406143,343527,359631,538353,,"C12H21Cl6O3P [ C12 H21 Cl6 O3 P, tgt=, overall=57.62, db=57.62 ]",,,C12H21Cl6O3P,FindByFormula,C12 H21 Cl6 O3 P,51,Esi-,453.9339,"(452.9278, 90428.86)(453.9308, 6398.72)",1.1780005
C16H24Cl6S3 Esi-1.1780005,163037,224617,279034,230658,235803,141621,139799,117307,162545,170610,203176,305610,224006,229397,222848,291414,77791,95943,155380,93622,185080,198399,163912,330736,203349,132898,238217,565743,507570,478541,197591,495735,434809,518838,464882,554775,678827,581995,597357,517200,495824,460973,598913,629787,575713,359242,298679,324403,277371,291047,479160,,"C16H24Cl6S3 [ C16 H24 Cl6 S3, tgt=, overall=69.60, db=69.60 ]",,,C16H24Cl6S3 Esi-1.1780005,FindByFormula,C16 H24 Cl6 S3,51,Esi-,521.9216,"(520.9108, 8394.49)(521.9135, 823.88)(522.9085, 407.33)",1.1780005
CH6O6P2 Esi-1.4280007,364694,418188,48157,362851,546138,496761,559397,444038,363653,581648,523797,243952,406112,394760,522043,412975,364060,385323,493513,460835,491095,387618,259198,329923,437578,486758,579552,458430,442297,253616,531322,390714,140772,435275,345029,552871,164259,64795,140763,515426,348669,371209,386546,355506,404101,289458,467418,470061,550525,489642,255621,,"CH6O6P2 [ C H6 O6 P2, tgt=, overall=85.52, db=85.52 ]",,,CH6O6P2 Esi-1.4280007,FindByFormula,C H6 O6 P2,51,Esi-,175.965,"(174.9567, 76723.73)(175.9608, 2586.78)",1.4280007
589.9095@1.1790006,90573,159613,276485,187611,216218,127723,111740,87557,130338,140833,162986,275391,206105,198462,190103,252924,66442,76163,126172,91503,142866,163851,135904,303189,202178,103807,189284,569335,516060,469928,164837,522613,415176,513125,452018,542026,683382,575707,593531,490580,470046,439877,591809,614093,565396,334147,275639,298473,249467,249747,453139,,,,,589.9095@1.1790006,FindByFormula,,51,Esi-,589.9095,"(588.9047, 83120.84)(589.9073, 7605.45)(590.9082, 2913.38)",1.1790006
C18H30O3S,239924,279339,271983,444081,293821,286158,323352,327142,323337,396542,267797,283439,359447,289171,285155,359639,393785,316099,425997,320201,321985,315678,353177,347597,467246,303901,398494,721770,619468,498522,339724,427234,422517,430722,401202,348676,375877,299870,378297,415624,399710,482822,420150,710942,400889,343628,392986,317580,773361,523515,369318,,"C18H30O3S [ C18 H30 O3 S, tgt=, overall=94.48, db=94.48 ]",,,C18H30O3S,FindByFormula,C18 H30 O3 S,51,Esi-,326.1931,"(325.1856, 23069.29)(326.1888, 4816.34)(327.1845, 1597.55)",10.235994
C39H65N5O9,607803,756181,802153,1374274,205296,1126899,1192952,387808,138424,1231820,493413,1123934,1188673,930373,426697,1007052,1058063,1187597,1193884,463563,1159282,1071361,1197047,1182781,1097591,1108789,1036016,67557,746620,229011,640442,404164,308429,170824,619426,613778,317161,150627,296920,677908,722814,914296,897971,157381,828705,203272,267108,1025698,1051686,1125478,1186034,,"C39H65N5O9 [ C39 H65 N5 O9, tgt=, overall=75.55, db=75.55 ]",,,C39H65N5O9,FindByFormula,C39 H65 N5 O9,51,Esi-,747.4777,"(746.4737, 23718.26)(747.4757, 13002.6)(748.476, 5982.96)",12.5510025
C13H28O8,314453,341320,260184,505065,373862,347867,379360,367143,360572,396541,348119,340001,344050,327913,305555,338775,406552,344050,422466,356696,347927,375586,391912,392103,490896,355358,380186,528308,559885,470643,368630,399041,375229,375457,407512,334282,350785,277443,310715,358269,365192,343591,336657,479685,326497,325271,377528,426807,635341,476479,393726,,"C13H28O8 [ C13 H28 O8, tgt=, overall=76.06, db=76.06 ]",,,C13H28O8,FindByFormula,C13 H28 O8,51,Esi-,312.1813,"(311.1698, 23019.68)(312.1729, 4131.29)",9.920996
C16H34N4OS Esi-9.389005,55730,41984,47616,66363,61127,71050,55201,28218,39591,49659,72347,53111,57488,53933,58357,35811,54838,63568,55331,77270,29026,85274,28434,42557,110714,47022,103730,538333,1473826,308856,52155,508829,55256,53221,58532,70446,53177,67139,51998,206221,53189,495847,511800,536313,452768,1190565,4407080,417147,785274,198874,249330,,"C16H34N4OS [ C16 H34 N4 O S, tgt=, overall=88.71, db=88.71 ]",,,C16H34N4OS Esi-9.389005,FindByFormula,C16 H34 N4 O S,51,Esi-,330.2462,"(329.2367, 194767.55)(330.2396, 33406.52)(331.2422, 4869.62)",9.389005
657.906@15.643996,486732,543967,552110,501543,494663,503414,510722,498725,510968,497472,513889,493723,508129,494477,501974,480818,517247,511818,507386,529402,534986,546749,551170,537019,559328,549323,541185,518715,533117,517180,531606,521276,510258,505606,518809,508822,534396,528863,520497,543934,539341,544687,546334,537636,543916,541215,563867,551267,566078,573777,576950,,,,,657.906@15.643996,FindByFormula,,51,Esi-,657.906,"(656.8896, 37193.2)(657.8924, 4270.99)(658.8924, 1643.39)",15.643996
C4H5F3O3,77354,50275,1,346939,354763,392879,394134,422239,369183,444412,667500,417035,414968,458000,425901,582894,386166,341357,403675,493463,372614,408018,424933,678289,405322,398601,385642,374734,628199,296754,354486,434052,560526,624569,413765,280307,331567,243278,628520,237678,688941,227192,279141,500847,151677,164480,272828,541363,267494,289663,242408,,"C4H5F3O3 [ C4 H5 F3 O3, tgt=, overall=83.34, db=83.34 ]",,,C4H5F3O3,FindByFormula,C4 H5 F3 O3,51,Esi-,158.0199,"(315.0255, 3936.3)(157.0127, 63851.39)(158.0163, 2617.31)",1.3450005
C6H2F4S Esi-1.1780005,210515,130942,171359,330364,332563,216459,286492,303508,304720,295499,130648,401731,305791,265976,349863,294987,70312,229947,285790,206548,286324,438396,255877,281237,298153,312573,301012,484751,478239,410012,134537,505990,484519,423724,420295,525432,621742,472054,528472,496680,472614,463162,533900,551895,534014,408367,402472,370533,320396,271531,406965,,"C6H2F4S [ C6 H2 F4 S, tgt=, overall=77.02, db=77.02 ]",,,C6H2F4S Esi-1.1780005,FindByFormula,C6 H2 F4 S,51,Esi-,181.9814,"(180.9742, 56719.04)(181.9775, 2003.76)",1.1780005
C7H4F4O2S,104353,156550,102721,106874,90763,95253,88496,119974,122856,214978,127997,137652,127633,127847,135011,140557,145233,201251,108091,140960,146655,99827,107594,110333,157911,110696,107482,175949,175179,129121,145769,163746,108711,188308,184220,373386,162065,172985,197493,583941,166196,239137,177082,190929,163006,193647,125704,177999,390799,136916,170991,,"C7H4F4O2S [ C7 H4 F4 O2 S, tgt=, overall=57.10, db=57.10 ]",,,C7H4F4O2S,FindByFormula,C7 H4 F4 O2 S,51,Esi-,227.9876,"(226.9816, 54864.4)(227.9833, 1447.79)",8.048003
C16H23N2,221642,406050,1,36889,1,1,1,1,81905,1,68643,250920,298894,28648,22885,297834,316110,329426,22182,302660,81654,205918,352129,282789,22729,332685,338344,169676,184568,188706,259562,251030,527349,247584,153411,190646,289936,523148,598475,268811,138093,122326,300970,200468,186080,105847,89611,165646,176209,43721,176253,,"C16H23N2 [ C16 H23 N2, tgt=, overall=75.95, db=75.95 ]",,,C16H23N2,FindByFormula,C16 H23 N2,51,Esi-,243.1853,"(242.1799, 26676.26)(243.1828, 4083.03)",14.223002
C25H36O3,1124015,1165197,1578628,287922,1153485,214340,534297,716645,1239395,39867,1278859,40087,9983,9254,127398,115163,39216,36390,67090,961458,97738,1571739,1539506,265701,1358843,14731,105905,154696,169103,116329,1294871,16977,338120,154184,67585,40270,158868,119431,112354,1696802,16518,80236,101583,845595,184840,1361556,99806,54893,2417387,37904,78679,,"C25H36O3 [ C25 H36 O3, tgt=, overall=74.89, db=74.89 ]",,,C25H36O3,FindByFormula,C25 H36 O3,51,Esi-,384.2716,"(383.2608, 60232.97)(384.263, 13935.91)",12.329998
C35H72O4S,122266,218132,363256,134224,71657,116143,119847,128884,130568,138493,140628,130737,132827,123044,163917,157672,159606,161115,166785,175950,168884,166977,159749,182391,194774,212802,189573,226793,237396,306851,308608,264234,95718,147443,214948,215515,166117,149673,113352,286538,264780,185243,200031,263111,162918,320374,510702,391909,317611,291833,342468,,"C35H72O4S [ C35 H72 O4 S, tgt=, overall=91.45, db=91.45 ]",,,C35H72O4S,FindByFormula,C35 H72 O4 S,51,Esi-,588.5252,"(587.5103, 28681.28)(588.513, 11628.43)(589.5129, 3605.74)(590.5141, 880.92)",12.493
657.8977@1.1780005,44788,80069,149382,112166,135422,71324,59355,38679,70389,75794,78771,167562,109414,110615,106863,142689,35393,38695,67383,40792,84674,89332,72402,187292,105995,56879,112215,381806,366894,324739,94271,369128,282035,342888,279535,352491,434097,372705,398220,337905,323746,289420,403230,413948,371363,213888,172488,199372,152368,164421,307372,,,,,657.8977@1.1780005,FindByFormula,,51,Esi-,657.8977,"(656.893, 63749.38)(657.8958, 6481.37)(658.897, 2312.0)",1.1780005
C29H44NO2,245550,85423,165428,34077,33263,23792,52304,72220,34135,30219,32575,28540,22802,25679,59326,1,60188,22223,29727,30733,38930,37589,24453,64092,34475,30090,32444,151045,131972,253593,59916,47125,206977,260461,29154,144342,117145,33792,293475,47740,47880,17953,25207,489889,216544,87370,69056,49314,34584,42460,114844,,"C29H44NO2 [ C29 H44 N O2, tgt=, overall=61.34, db=61.34 ]",,,C29H44NO2,FindByFormula,C29 H44 N O2,50,Esi-,436.3236,"(437.3326, 12766.05)(438.3357, 3573.54)",12.4240055
C9H16O3,85744,82347,94484,112020,102289,147639,122106,106483,117191,142533,132561,139421,146598,125196,120917,120928,73114,77680,137078,76783,152062,138155,144181,144433,139015,84427,133302,318857,379029,126277,100556,235319,120378,111600,135506,173364,103230,128803,105644,139577,155930,183773,204767,206724,208590,349062,436660,266462,205359,162259,190070,,"C9H16O3 [ C9 H16 O3, tgt=, overall=81.26, db=81.26 ]",,,C9H16O3,FindByFormula,C9 H16 O3,51,Esi-,172.1109,"(171.1038, 43381.61)(172.107, 4222.23)",7.016
